[1800, 0] [0, 1800] [249, 189]
[1800, 0] [310, 396] [360, 314]
[260, 316] [310, 396] [0, 1800]
[310, 396] [260, 316] [312, 342]
[312, 342] [360, 314] [310, 396]
[1800, 0] [0, 1800] [310, 396]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [260, 316]
[-1800, -1800] [1800, 0] [305, 34]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [-1800, -1800]
[260, 316] [-1800, -1800] [249, 189]
[1800, 0] [371, 187] [305, 34]
[371, 187] [1800, 0] [360, 314]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[1800, 0] [310, 396] [360, 314]
[260, 316] [310, 396] [0, 1800]
[310, 396] [260, 316] [312, 342]
[312, 342] [360, 314] [310, 396]
[1800, 0] [0, 1800] [310, 396]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [149, 208]
[-1800, -1800] [1800, 0] [305, 34]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [260, 316]
[305, 34] [149, 208] [-1800, -1800]
[1800, 0] [371, 187] [305, 34]
[371, 187] [1800, 0] [360, 314]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[1800, 0] [310, 396] [360, 314]
[260, 316] [310, 396] [149, 208]
[310, 396] [260, 316] [312, 342]
[149, 208] [310, 396] [0, 1800]
[312, 342] [360, 314] [310, 396]
[1800, 0] [0, 1800] [310, 396]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [149, 208]
[-1800, -1800] [1800, 0] [305, 34]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [260, 316]
[305, 34] [149, 208] [-1800, -1800]
[450, 203] [305, 34] [1800, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[1800, 0] [310, 396] [450, 203]
[260, 316] [310, 396] [149, 208]
[310, 396] [260, 316] [312, 342]
[149, 208] [310, 396] [0, 1800]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [450, 203]
[450, 203] [310, 396] [360, 314]
[1800, 0] [0, 1800] [310, 396]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [149, 208]
[-1800, -1800] [1800, 0] [305, 34]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [199, 316]
[305, 34] [149, 208] [-1800, -1800]
[450, 203] [305, 34] [1800, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[1800, 0] [310, 396] [450, 203]
[260, 316] [310, 396] [199, 316]
[310, 396] [260, 316] [312, 342]
[249, 189] [260, 316] [199, 316]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [450, 203]
[450, 203] [310, 396] [360, 314]
[310, 396] [0, 1800] [199, 316]
[0, 1800] [149, 208] [199, 316]
[1800, 0] [0, 1800] [419, 307]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [149, 208]
[-1800, -1800] [1800, 0] [305, 34]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [199, 316]
[305, 34] [149, 208] [-1800, -1800]
[450, 203] [305, 34] [1800, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[419, 307] [0, 1800] [310, 396]
[260, 316] [310, 396] [199, 316]
[310, 396] [260, 316] [312, 342]
[249, 189] [260, 316] [199, 316]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [419, 307]
[360, 314] [419, 307] [310, 396]
[310, 396] [0, 1800] [199, 316]
[0, 1800] [149, 208] [199, 316]
[419, 307] [371, 187] [450, 203]
[450, 203] [1800, 0] [419, 307]
[1800, 0] [0, 1800] [419, 307]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [1, 0]
[-1800, -1800] [1800, 0] [305, 34]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [199, 316]
[305, 34] [149, 208] [1, 0]
[450, 203] [305, 34] [1800, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[419, 307] [0, 1800] [310, 396]
[260, 316] [310, 396] [199, 316]
[310, 396] [260, 316] [312, 342]
[249, 189] [260, 316] [199, 316]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [419, 307]
[360, 314] [419, 307] [310, 396]
[310, 396] [0, 1800] [199, 316]
[-1800, -1800] [305, 34] [1, 0]
[0, 1800] [1, 0] [199, 316]
[199, 316] [1, 0] [149, 208]
[419, 307] [371, 187] [450, 203]
[450, 203] [1800, 0] [419, 307]
[1800, 0] [0, 1800] [419, 307]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [1, 0]
[-1800, -1800] [1800, 0] [598, 0]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [199, 316]
[305, 34] [149, 208] [1, 0]
[450, 203] [305, 34] [598, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[419, 307] [0, 1800] [310, 396]
[260, 316] [310, 396] [199, 316]
[310, 396] [260, 316] [312, 342]
[249, 189] [260, 316] [199, 316]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [419, 307]
[360, 314] [419, 307] [310, 396]
[310, 396] [0, 1800] [199, 316]
[598, 0] [1, 0] [-1800, -1800]
[1, 0] [598, 0] [305, 34]
[450, 203] [598, 0] [419, 307]
[0, 1800] [1, 0] [199, 316]
[199, 316] [1, 0] [149, 208]
[419, 307] [371, 187] [450, 203]
[419, 307] [598, 0] [1800, 0]
[1800, 0] [0, 1800] [599, 449]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [1, 0]
[-1800, -1800] [1800, 0] [598, 0]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [199, 316]
[305, 34] [149, 208] [1, 0]
[450, 203] [305, 34] [598, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[599, 449] [310, 396] [419, 307]
[310, 396] [599, 449] [0, 1800]
[260, 316] [310, 396] [199, 316]
[310, 396] [260, 316] [312, 342]
[249, 189] [260, 316] [199, 316]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [419, 307]
[360, 314] [419, 307] [310, 396]
[310, 396] [0, 1800] [199, 316]
[598, 0] [1, 0] [-1800, -1800]
[1, 0] [598, 0] [305, 34]
[450, 203] [598, 0] [599, 449]
[0, 1800] [1, 0] [199, 316]
[199, 316] [1, 0] [149, 208]
[419, 307] [371, 187] [450, 203]
[450, 203] [599, 449] [419, 307]
[599, 449] [598, 0] [1800, 0]
[1800, 0] [0, 1800] [599, 449]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [1, 0]
[-1800, -1800] [1800, 0] [598, 0]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [199, 316]
[305, 34] [149, 208] [1, 0]
[450, 203] [305, 34] [598, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[599, 449] [310, 396] [419, 307]
[310, 396] [599, 449] [0, 1800]
[260, 316] [310, 396] [199, 316]
[310, 396] [260, 316] [312, 342]
[249, 189] [260, 316] [199, 316]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [419, 307]
[360, 314] [419, 307] [310, 396]
[310, 396] [0, 1800] [199, 316]
[308, 2] [-1800, -1800] [598, 0]
[-1800, -1800] [308, 2] [1, 0]
[450, 203] [598, 0] [599, 449]
[0, 1800] [1, 0] [199, 316]
[199, 316] [1, 0] [149, 208]
[419, 307] [371, 187] [450, 203]
[450, 203] [599, 449] [419, 307]
[599, 449] [598, 0] [1800, 0]
[305, 34] [1, 0] [308, 2]
[598, 0] [305, 34] [308, 2]
[1800, 0] [0, 1800] [599, 449]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [1, 0]
[-1800, -1800] [1800, 0] [598, 0]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [199, 316]
[305, 34] [149, 208] [1, 0]
[450, 203] [305, 34] [598, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[599, 449] [310, 396] [419, 307]
[310, 396] [599, 449] [0, 1800]
[260, 316] [310, 396] [199, 316]
[310, 396] [260, 316] [312, 342]
[249, 189] [260, 316] [199, 316]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [419, 307]
[360, 314] [419, 307] [310, 396]
[310, 396] [0, 1800] [199, 316]
[308, 2] [-1800, -1800] [598, 0]
[-1800, -1800] [308, 2] [1, 0]
[450, 203] [598, 0] [598, 192]
[0, 1800] [1, 0] [199, 316]
[199, 316] [1, 0] [149, 208]
[419, 307] [371, 187] [450, 203]
[598, 192] [419, 307] [450, 203]
[419, 307] [598, 192] [599, 449]
[598, 192] [1800, 0] [599, 449]
[1800, 0] [598, 192] [598, 0]
[305, 34] [1, 0] [308, 2]
[598, 0] [305, 34] [308, 2]
[1800, 0] [0, 1800] [599, 449]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [1, 0]
[-1800, -1800] [1800, 0] [598, 0]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [199, 316]
[305, 34] [149, 208] [1, 0]
[450, 203] [305, 34] [598, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[311, 448] [419, 307] [599, 449]
[419, 307] [311, 448] [310, 396]
[260, 316] [310, 396] [199, 316]
[310, 396] [260, 316] [312, 342]
[249, 189] [260, 316] [199, 316]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [419, 307]
[360, 314] [419, 307] [310, 396]
[199, 316] [311, 448] [0, 1800]
[311, 448] [199, 316] [310, 396]
[308, 2] [-1800, -1800] [598, 0]
[-1800, -1800] [308, 2] [1, 0]
[450, 203] [598, 0] [598, 192]
[0, 1800] [1, 0] [199, 316]
[199, 316] [1, 0] [149, 208]
[419, 307] [371, 187] [450, 203]
[598, 192] [419, 307] [450, 203]
[419, 307] [598, 192] [599, 449]
[598, 192] [1800, 0] [599, 449]
[1800, 0] [598, 192] [598, 0]
[305, 34] [1, 0] [308, 2]
[598, 0] [305, 34] [308, 2]
[599, 449] [0, 1800] [311, 448]
[1800, 0] [0, 1800] [599, 449]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [1, 204]
[-1800, -1800] [1800, 0] [598, 0]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [199, 316]
[305, 34] [149, 208] [1, 0]
[450, 203] [305, 34] [598, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[311, 448] [419, 307] [599, 449]
[419, 307] [311, 448] [310, 396]
[260, 316] [310, 396] [199, 316]
[310, 396] [260, 316] [312, 342]
[249, 189] [260, 316] [199, 316]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [419, 307]
[360, 314] [419, 307] [310, 396]
[199, 316] [311, 448] [1, 204]
[311, 448] [199, 316] [310, 396]
[308, 2] [-1800, -1800] [598, 0]
[-1800, -1800] [308, 2] [1, 0]
[450, 203] [598, 0] [598, 192]
[1, 204] [-1800, -1800] [1, 0]
[149, 208] [1, 204] [1, 0]
[1, 204] [149, 208] [199, 316]
[419, 307] [371, 187] [450, 203]
[598, 192] [419, 307] [450, 203]
[419, 307] [598, 192] [599, 449]
[1, 204] [311, 448] [0, 1800]
[598, 192] [1800, 0] [599, 449]
[1800, 0] [598, 192] [598, 0]
[305, 34] [1, 0] [308, 2]
[598, 0] [305, 34] [308, 2]
[599, 449] [0, 1800] [311, 448]
[1800, 0] [0, 1800] [599, 449]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [1, 204]
[-1800, -1800] [1800, 0] [598, 0]
[249, 189] [305, 34] [371, 187]
[305, 34] [249, 189] [149, 208]
[149, 208] [249, 189] [199, 316]
[305, 34] [149, 208] [1, 0]
[450, 203] [305, 34] [598, 0]
[305, 34] [450, 203] [371, 187]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[311, 448] [419, 307] [599, 449]
[419, 307] [311, 448] [310, 396]
[260, 316] [310, 396] [199, 316]
[310, 396] [260, 316] [312, 342]
[249, 189] [260, 316] [199, 316]
[312, 342] [360, 314] [310, 396]
[360, 314] [371, 187] [419, 307]
[360, 314] [419, 307] [310, 396]
[199, 316] [311, 448] [1, 204]
[311, 448] [199, 316] [310, 396]
[308, 2] [-1800, -1800] [598, 0]
[-1800, -1800] [308, 2] [1, 0]
[450, 203] [598, 0] [598, 192]
[1, 204] [-1800, -1800] [1, 0]
[149, 208] [1, 204] [1, 0]
[1, 204] [149, 208] [199, 316]
[419, 307] [371, 187] [450, 203]
[598, 192] [419, 307] [450, 203]
[419, 307] [598, 192] [599, 449]
[1, 204] [311, 448] [0, 1800]
[598, 192] [1800, 0] [599, 449]
[1800, 0] [598, 192] [598, 0]
[305, 34] [1, 0] [308, 2]
[598, 0] [305, 34] [308, 2]
[599, 449] [0, 1800] [311, 448]
[1800, 0] [0, 1800] [231, 150]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [231, 150]
[-1800, -1800] [1800, 0] [231, 150]
[1800, 0] [0, 1800] [344, 143]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [231, 150]
[-1800, -1800] [1800, 0] [344, 143]
[-1800, -1800] [344, 143] [231, 150]
[0, 1800] [231, 150] [344, 143]
[1800, 0] [0, 1800] [278, 235]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [231, 150]
[-1800, -1800] [1800, 0] [344, 143]
[-1800, -1800] [344, 143] [231, 150]
[0, 1800] [231, 150] [278, 235]
[344, 143] [1800, 0] [278, 235]
[231, 150] [344, 143] [278, 235]
[1800, 0] [0, 1800] [287, 311]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [231, 150]
[-1800, -1800] [1800, 0] [344, 143]
[-1800, -1800] [344, 143] [231, 150]
[0, 1800] [231, 150] [287, 311]
[344, 143] [1800, 0] [287, 311]
[344, 143] [287, 311] [278, 235]
[231, 150] [344, 143] [278, 235]
[287, 311] [231, 150] [278, 235]
[1800, 0] [0, 1800] [287, 311]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [240, 286]
[-1800, -1800] [1800, 0] [344, 143]
[-1800, -1800] [344, 143] [231, 150]
[240, 286] [-1800, -1800] [231, 150]
[344, 143] [1800, 0] [287, 311]
[344, 143] [287, 311] [278, 235]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [231, 150]
[240, 286] [278, 235] [287, 311]
[287, 311] [0, 1800] [240, 286]
[1800, 0] [0, 1800] [347, 287]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [240, 286]
[-1800, -1800] [1800, 0] [344, 143]
[-1800, -1800] [344, 143] [231, 150]
[240, 286] [-1800, -1800] [231, 150]
[344, 143] [1800, 0] [347, 287]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [231, 150]
[240, 286] [278, 235] [287, 311]
[347, 287] [0, 1800] [287, 311]
[287, 311] [0, 1800] [240, 286]
[1800, 0] [0, 1800] [291, 373]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [240, 286]
[-1800, -1800] [1800, 0] [344, 143]
[-1800, -1800] [344, 143] [231, 150]
[240, 286] [-1800, -1800] [231, 150]
[344, 143] [1800, 0] [347, 287]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [231, 150]
[240, 286] [278, 235] [287, 311]
[1800, 0] [291, 373] [347, 287]
[240, 286] [291, 373] [0, 1800]
[291, 373] [240, 286] [287, 311]
[287, 311] [347, 287] [291, 373]
[1800, 0] [0, 1800] [291, 373]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [240, 286]
[-1800, -1800] [1800, 0] [281, 7]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [-1800, -1800]
[240, 286] [-1800, -1800] [231, 150]
[1800, 0] [344, 143] [281, 7]
[344, 143] [1800, 0] [347, 287]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [231, 150]
[240, 286] [278, 235] [287, 311]
[1800, 0] [291, 373] [347, 287]
[240, 286] [291, 373] [0, 1800]
[291, 373] [240, 286] [287, 311]
[287, 311] [347, 287] [291, 373]
[1800, 0] [0, 1800] [291, 373]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [155, 174]
[-1800, -1800] [1800, 0] [281, 7]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [155, 174]
[0, 1800] [155, 174] [291, 373]
[281, 7] [155, 174] [-1800, -1800]
[1800, 0] [344, 143] [281, 7]
[344, 143] [1800, 0] [347, 287]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [155, 174]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [155, 174]
[1800, 0] [291, 373] [347, 287]
[240, 286] [291, 373] [155, 174]
[291, 373] [240, 286] [287, 311]
[287, 311] [347, 287] [291, 373]
[1800, 0] [0, 1800] [291, 373]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [155, 174]
[-1800, -1800] [1800, 0] [281, 7]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [155, 174]
[0, 1800] [155, 174] [291, 373]
[281, 7] [155, 174] [-1800, -1800]
[459, 164] [281, 7] [1800, 0]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [155, 174]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [155, 174]
[1800, 0] [291, 373] [459, 164]
[240, 286] [291, 373] [155, 174]
[291, 373] [240, 286] [287, 311]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [459, 164]
[459, 164] [291, 373] [347, 287]
[1800, 0] [0, 1800] [291, 373]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [155, 174]
[-1800, -1800] [1800, 0] [281, 7]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [155, 174]
[0, 1800] [155, 174] [194, 265]
[281, 7] [155, 174] [-1800, -1800]
[459, 164] [281, 7] [1800, 0]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [194, 265]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [194, 265]
[1800, 0] [291, 373] [459, 164]
[240, 286] [291, 373] [194, 265]
[291, 373] [240, 286] [287, 311]
[231, 150] [194, 265] [155, 174]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [459, 164]
[459, 164] [291, 373] [347, 287]
[291, 373] [0, 1800] [194, 265]
[1800, 0] [0, 1800] [291, 373]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [155, 174]
[-1800, -1800] [1800, 0] [281, 7]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [155, 174]
[0, 1800] [155, 174] [194, 265]
[281, 7] [155, 174] [-1800, -1800]
[459, 164] [281, 7] [1800, 0]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [194, 265]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [194, 265]
[1800, 0] [291, 373] [418, 250]
[240, 286] [291, 373] [194, 265]
[291, 373] [240, 286] [287, 311]
[231, 150] [194, 265] [155, 174]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [418, 250]
[347, 287] [418, 250] [291, 373]
[291, 373] [0, 1800] [194, 265]
[418, 250] [344, 143] [459, 164]
[459, 164] [1800, 0] [418, 250]
[1800, 0] [0, 1800] [291, 373]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [2, 1]
[-1800, -1800] [1800, 0] [281, 7]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [155, 174]
[194, 265] [2, 1] [155, 174]
[2, 1] [194, 265] [0, 1800]
[281, 7] [155, 174] [2, 1]
[459, 164] [281, 7] [1800, 0]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [194, 265]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [194, 265]
[1800, 0] [291, 373] [418, 250]
[240, 286] [291, 373] [194, 265]
[291, 373] [240, 286] [287, 311]
[231, 150] [194, 265] [155, 174]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [418, 250]
[347, 287] [418, 250] [291, 373]
[291, 373] [0, 1800] [194, 265]
[-1800, -1800] [281, 7] [2, 1]
[418, 250] [344, 143] [459, 164]
[459, 164] [1800, 0] [418, 250]
[1800, 0] [0, 1800] [291, 373]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [2, 1]
[-1800, -1800] [1800, 0] [596, 1]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [155, 174]
[194, 265] [2, 1] [155, 174]
[2, 1] [194, 265] [0, 1800]
[281, 7] [155, 174] [2, 1]
[459, 164] [281, 7] [596, 1]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [194, 265]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [194, 265]
[1800, 0] [291, 373] [418, 250]
[240, 286] [291, 373] [194, 265]
[291, 373] [240, 286] [287, 311]
[231, 150] [194, 265] [155, 174]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [418, 250]
[347, 287] [418, 250] [291, 373]
[291, 373] [0, 1800] [194, 265]
[-1800, -1800] [281, 7] [2, 1]
[281, 7] [-1800, -1800] [596, 1]
[459, 164] [596, 1] [418, 250]
[418, 250] [344, 143] [459, 164]
